column,dtype,n_missing,n_unique
customer_id,str,0,3333
state,str,0,51
account_length,int64,0,212
area_code,int64,0,3
international_plan,str,0,2
voice_mail_plan,str,0,2
number_vmail_messages,int64,0,46
total_day_minutes,float64,0,1645
total_day_calls,int64,0,119
total_day_charge,float64,0,1645
total_eve_minutes,float64,0,1589
total_eve_calls,int64,0,123
total_eve_charge,float64,0,1418
total_night_minutes,float64,0,1564
total_night_calls,int64,0,120
total_night_charge,float64,0,906
total_intl_minutes,float64,0,142
total_intl_calls,int64,0,21
total_intl_charge,float64,0,142
customer_service_calls,float64,0,5
churn,bool,0,2
source_split,str,0,2
churn_flag,int64,0,2
total_minutes,float64,0,2577
total_charge,float64,0,2711
total_calls,int64,0,195
avg_charge_per_call,float64,0,3318
has_intl_plan,int64,0,2
has_voicemail_plan,int64,0,2
account_length_zscore,float64,0,212
total_day_minutes_zscore,float64,0,1645
total_eve_minutes_zscore,float64,0,1589
total_night_minutes_zscore,float64,0,1564
total_intl_minutes_zscore,float64,0,142
total_charge_zscore,float64,0,2711
customer_service_calls_zscore,float64,0,5
account_length_norm,float64,0,212
total_day_minutes_norm,float64,0,1645
total_eve_minutes_norm,float64,0,1589
total_night_minutes_norm,float64,0,1564
total_intl_minutes_norm,float64,0,142
total_charge_norm,float64,0,2662
customer_service_calls_norm,float64,0,5
