,mean,median,mode,std,min,max
account_length,101.06480648064806,101.0,105.0,39.822105928595604,1.0,243.0
area_code,437.18241824182417,415.0,415.0,42.371290485606615,408.0,510.0
number_vmail_messages,8.099009900990099,0.0,0.0,13.688365372038598,0.0,51.0
total_day_minutes,179.81615661566155,179.4,34.64999999999996,54.152189536458366,34.64999999999996,325.45000000000005
total_day_calls,100.43564356435644,101.0,102.0,20.069084207300897,0.0,165.0
total_day_charge,30.56929192919292,30.5,5.890000000000001,9.205864569700998,5.890000000000001,55.33
total_eve_minutes,201.00954095409543,201.4,63.54999999999997,50.401365219859954,63.54999999999997,338.35
total_eve_calls,100.11431143114311,100.0,105.0,19.922625293943103,0.0,170.0
total_eve_charge,17.086015601560156,17.12,5.4,4.284135363463859,5.4,28.76
total_night_minutes,200.82814281428142,201.2,64.54999999999998,50.118621789323285,64.54999999999998,337.75
total_night_calls,100.10771077107711,100.0,105.0,19.56860934605856,33.0,175.0
total_night_charge,9.037380738073807,9.05,2.914999999999999,2.2552118830406997,2.914999999999999,15.195
total_intl_minutes,10.254575457545755,10.3,10.0,2.7210068667001153,3.1000000000000005,17.5
total_intl_calls,4.4794479447944795,4.0,3.0,2.461214270546094,0.0,20.0
total_intl_charge,2.7693204320432043,2.78,2.7,0.7344447898877973,0.8449999999999995,4.7250000000000005
customer_service_calls,1.4762976297629764,1.0,1.0,1.1071940233163695,0.0,3.5
churn_flag,0.14491449144914492,0.0,0.0,0.352067423624126,0.0,1.0
total_minutes,591.9084158415842,593.6999999999999,522.6,89.26837774787323,284.3,882.1999999999999
total_charge,59.462008700870086,59.47,52.98,10.433074223982572,27.02,92.52
total_calls,305.1371137113711,305.0,314.0,34.44816355190812,191.0,416.0
avg_charge_per_call,0.19738044392720755,0.1943928571428571,0.146725352112676,0.04156495371901148,0.0712631578947368,0.4097183098591549
has_intl_plan,0.0969096909690969,0.0,0.0,0.29587914548441485,0.0,1.0
has_voicemail_plan,0.27662766276627665,0.0,0.0,0.44739787038006346,0.0,1.0
account_length_zscore,1.4496521461652208e-16,-0.0016276438241808,0.0988341499905457,1.0001500487666934,-2.5131724891923457,3.5647660365986136
total_day_minutes_zscore,2.099863770548151e-16,-0.0076860984387022,-2.6811092932941984,1.0001500487666934,-2.6811092932941984,2.6897471147471026
total_eve_minutes_zscore,-3.645448779327247e-16,0.0077481558703688,-2.7277071958065484,1.0001500487666934,-2.7277071958065484,2.725344169016206
total_night_minutes_zscore,1.3590488870298947e-16,0.0074206546220291,-2.719519937209717,1.0001500487666934,-2.719519937209717,2.732365680707832
total_intl_minutes_zscore,-1.7694283548781374e-16,0.0166965246970931,-0.0935733236821895,1.0001500487666934,-2.629779836405685,2.6631728857998707
total_charge_zscore,3.8373145045549965e-17,0.0007660731672088,0.5548565701544701,1.0001500487666934,-3.1100015093996816,3.1690517004040566
customer_service_calls_zscore,-1.3430600765942488e-16,-0.4302489785918792,-0.4302489785918792,1.0001500487666932,-1.333568566400845,1.828049990930535
account_length_norm,0.41349093587044655,0.4132231404958678,0.4297520661157025,0.16455415672973392,0.0,1.0
total_day_minutes_norm,0.4991958618145171,0.4977647867950482,0.0,0.18621798327530384,0.0,1.0
total_eve_minutes_norm,0.5002166701386296,0.5016375545851528,0.0,0.18341108158609878,0.0,1.0
total_night_minutes_norm,0.4988218990273844,0.5001830161054173,0.0,0.18345029937526822,0.0,1.0
total_intl_minutes_norm,0.49684551788512177,0.5000000000000001,0.4791666666666667,0.18895881018750804,0.0,1.0
total_charge_norm,0.49529784276137534,0.4954198473282443,0.5341984732824426,0.15928357593866524,0.0,1.0
customer_service_calls_norm,0.4217993227894217,0.2857142857142857,0.2857142857142857,0.31634114951896275,0.0,1.0
